suburb_canonical,bedrooms,listing_type,N_sale,median_sale_price,mean_sale_price,p25_sale_price,p75_sale_price,median_usable_area,median_price_per_m2,median_monthly_condo_fee,missing_rate_condo,median_yearly_iptu,missing_rate_iptu,faixa_vivareal
Estreito,4,apartamento,4,5107500.0,4902500.0,4645000.0,5365000.0,197.5,26762.516469038208,990.0,0.25,1250.0,0.5,critico_<5
Ilhota,0,terreno,5,1200000.0,3067840.0,339200.0,6500000.0,450.0,2000.0,0.0,0.6,0.0,0.2,pequeno_5-19
Ilhota,1,apartamento,5,220000.0,232063.2,202658.0,255000.0,38.0,5333.105263157895,250.0,0.4,60.0,0.6,pequeno_5-19
Ilhota,2,casa,1,500000.0,500000.0,500000.0,500000.0,74.0,6756.756756756757,0.0,0.0,0.0,0.0,critico_<5
Ilhota,3,apartamento,4,2025000.0,2780062.5,2025000.0,2780062.5,129.0,15697.67441860465,3.0,0.25,900.0,0.5,critico_<5
Ilhota,3,casa,3,5505000.0,8625000.0,3752500.0,11937500.0,362.0,15207.182320441989,0.0,0.3333333333333333,0.0,0.0,critico_<5
Ilhota,4,apartamento,19,2845125.0,3568653.3684210526,2663385.0,3903189.0,154.0,18474.83766233766,0.0,0.3157894736842105,1800.0,0.5263157894736842,pequeno_5-19
Ilhota,4,casa,6,18370000.0,16907050.0,18167350.0,18370000.0,811.0,22651.048088779284,905.0,0.0,450.0,0.3333333333333333,pequeno_5-19
Ilhota,5,casa,2,21000000.0,21000000.0,19000000.0,23000000.0,1873.5,11405.123068116773,2000.0,0.5,7000.0,0.5,critico_<5
Ilhota,6,casa,10,14950000.0,15865090.0,14950000.0,14950000.0,574.0,26045.296167247387,10.0,0.3,55.0,0.4,pequeno_5-19
Itapema,3,apartamento,2,1614947.5,1614947.5,1132421.25,2097473.75,97.0,15029.384057971014,0.0,0.5,0.0,0.5,critico_<5
Jardim Praiamar,0,terreno,1,685000.0,685000.0,685000.0,685000.0,300.0,2283.3333333333335,,1.0,,1.0,critico_<5
Jardim Praiamar,1,apartamento,6,710000.0,650841.6666666666,573537.5,746750.0,62.5,11912.186379928316,0.0,0.3333333333333333,0.0,0.5,pequeno_5-19
Jardim Praiamar,2,apartamento,88,729990.5,730087.7386363636,642855.75,829625.0,64.0,10822.4765625,220.0,0.2727272727272727,1.0,0.32954545454545453,grande_50+
Jardim Praiamar,3,apartamento,8,702191.0,703204.125,656930.0,731250.0,69.5,10103.182194616977,201.5,0.25,800.0,0.375,pequeno_5-19
Jardim Praiamar,4,apartamento,1,4000000.0,4000000.0,4000000.0,4000000.0,190.0,21052.63157894737,0.0,0.0,2850.0,0.0,critico_<5
Meia Praia,0,comercial,24,1950000.0,3405731.6666666665,1126250.0,3817000.0,129.5,15465.998931623932,0.0,0.4166666666666667,0.0,0.375,medio_20-49
Meia Praia,0,outros,1,1100000.0,1100000.0,1100000.0,1100000.0,114.0,9649.122807017544,,1.0,,1.0,critico_<5
Meia Praia,0,terreno,5,699000.0,1479400.0,699000.0,2650000.0,455.0,1536.2637362637363,600.0,0.0,1000.0,0.0,pequeno_5-19
Meia Praia,1,apartamento,58,877500.0,920925.6896551724,757000.0,1003755.25,40.0,21250.0,0.0,0.3275862068965517,100.0,0.39655172413793105,grande_50+
Meia Praia,1,comercial,4,1779250.0,4729507.5,893875.0,5614882.5,84.0,19146.58125,1250.0,0.5,17184.0,0.5,critico_<5
Meia Praia,2,apartamento,243,1080000.0,1133950.049382716,912850.0,1290000.0,85.0,13032.608695652174,450.0,0.26337448559670784,650.0,0.30864197530864196,grande_50+
Meia Praia,3,apartamento,1697,1885000.0,2104060.298762522,1579800.0,2399240.0,129.0,14957.98319327731,500.0,0.2893341190335887,523.5,0.34708308780200353,grande_50+
Meia Praia,3,casa,11,1800000.0,2595856.090909091,1308258.5,2280000.0,152.0,12934.782608695652,0.5,0.2727272727272727,721.5,0.09090909090909091,pequeno_5-19
Meia Praia,4,apartamento,1323,3600000.0,4322938.998488285,2758500.0,4990000.0,188.0,18555.27950310559,600.0,0.3197278911564626,1.0,0.37339380196523053,grande_50+
Meia Praia,4,casa,6,5620000.0,5802666.333333333,3991250.0,6645000.0,219.5,24132.555232558138,0.0,0.0,3341.0,0.5,pequeno_5-19
Meia Praia,5,apartamento,73,8000000.0,8874483.342465753,5007000.0,9750000.0,343.0,20933.47142857143,0.0,0.3287671232876712,1.0,0.3972602739726027,grande_50+
